symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
RELIANCE,INE002A01018,2020-01-01,NSE,EQ,EQ,buy,false,3.000000,1522.450000,75030321,1300000000202795,2020-01-01T09:16:28
INDIGO,INE646L01027,2020-01-06,NSE,EQ,EQ,buy,false,3.000000,1327.000000,25543717,1100000001684254,2020-01-06T09:57:43
BERGEPAINT,INE463A01038,2020-01-06,NSE,EQ,EQ,buy,false,3.000000,500.000000,515701,1000000001971189,2020-01-06T10:00:47
INFY,INE009A01021,2020-01-06,NSE,EQ,EQ,buy,false,2.000000,742.800000,25576116,1100000001782977,2020-01-06T10:01:56
INFY,INE009A01021,2020-01-08,NSE,EQ,EQ,buy,false,3.000000,715.000000,27016326,1100000005030409,2020-01-08T13:52:44
INDIGO,INE646L01027,2020-01-09,NSE,EQ,EQ,sell,false,3.000000,1390.000000,25308974,1100000000963371,2020-01-09T09:31:55
INFY,INE009A01021,2020-01-09,NSE,EQ,EQ,buy,false,4.000000,725.000000,26227691,1100000002509250,2020-01-09T11:07:33
INFY,INE009A01021,2020-01-13,NSE,EQ,EQ,sell,false,4.000000,775.000000,26090769,1100000001027322,2020-01-13T11:02:17
RELIANCE,INE002A01018,2020-01-14,NSE,EQ,EQ,buy,false,3.000000,1532.000000,76895388,1300000004911992,2020-01-14T12:31:22
IOC,INE242A01010,2020-01-20,NSE,EQ,EQ,buy,false,10.000000,117.750000,25673898,1100000002171725,2020-01-20T09:58:55
IOC,INE242A01010,2020-01-20,NSE,EQ,EQ,buy,false,15.000000,118.200000,25789603,1100000002562266,2020-01-20T10:10:41
RELIANCE,INE002A01018,2020-01-31,NSE,EQ,EQ,buy,false,7.000000,1442.000000,75404621,1300000001329619,2020-01-31T09:40:58
RELIANCE,INE002A01018,2020-03-02,NSE,EQ,EQ,buy,false,2.000000,1355.000000,75731471,1300000000659244,2020-03-02T10:00:47
RELIANCE,INE002A01018,2020-03-06,NSE,EQ,EQ,buy,false,1.000000,1268.000000,78304212,1300000010189443,2020-03-06T12:51:44
RELIANCE,INE002A01018,2020-03-09,NSE,EQ,EQ,buy,false,3.000000,1126.000000,79871207,1300000012620185,2020-03-09T14:19:34
INFY,INE009A01021,2020-03-13,NSE,EQ,EQ,buy,false,6.000000,606.000000,26269628,1100000002285576,2020-03-13T10:46:22
RELIANCE,INE002A01018,2020-03-13,NSE,EQ,EQ,buy,false,3.000000,1035.000000,76713491,1300000003128422,2020-03-13T10:55:02
INFY,INE009A01021,2020-03-16,NSE,EQ,EQ,buy,false,6.000000,600.000000,29081423,1100000010878280,2020-03-16T13:37:19
LEMONTREE,INE970X01018,2020-05-28,NSE,EQ,EQ,buy,false,270.000000,18.100000,50296507,1200000001137939,2020-05-28T09:27:46
VIPIND,INE054A01027,2020-06-09,NSE,EQ,EQ,buy,false,10.000000,263.700000,75869222,1300000002007402,2020-06-09T09:46:09
VIPIND,INE054A01027,2020-06-09,NSE,EQ,EQ,buy,false,9.000000,263.700000,75913031,1300000002007402,2020-06-09T09:48:04
LEMONTREE,INE970X01018,2020-06-19,NSE,EQ,EQ,sell,false,204.000000,26.100000,50002104,1200000000118397,2020-06-19T09:07:07
LEMONTREE,INE970X01018,2020-06-19,NSE,EQ,EQ,sell,false,66.000000,26.100000,50002103,1200000000118397,2020-06-19T09:07:07
IOC,INE242A01010,2020-06-30,NSE,EQ,EQ,sell,false,25.000000,87.550000,25682182,1100000001900746,2020-06-30T09:39:31
BERGEPAINT,INE463A01038,2020-06-30,NSE,EQ,EQ,sell,false,3.000000,503.550000,616557,1000000002082037,2020-06-30T09:40:24
ESCORTS,INE042A01014,2020-06-30,NSE,EQ,EQ,buy,false,1.000000,1057.850000,25755226,1100000002086981,2020-06-30T09:43:10
GUJALKALI,INE186A01019,2020-06-30,NSE,EQ,EQ,buy,false,1.000000,326.250000,25755228,1100000002086984,2020-06-30T09:43:10
NATIONALUM,INE139A01034,2020-06-30,NSE,EQ,EQ,buy,false,32.000000,32.500000,50445304,1200000001657732,2020-06-30T09:43:10
LT,INE018A01030,2020-06-30,NSE,EQ,EQ,buy,false,1.000000,947.500000,50445306,1200000001657734,2020-06-30T09:43:10
POLYPLEX,INE633B01018,2020-06-30,NSE,EQ,EQ,buy,false,2.000000,486.450000,50445307,1200000001657738,2020-06-30T09:43:10
NATCOPHARM,INE987B01026,2020-06-30,NSE,EQ,EQ,buy,false,2.000000,628.600000,50445308,1200000001657740,2020-06-30T09:43:10
VIPIND,INE054A01027,2020-06-30,NSE,EQ,EQ,buy,false,4.000000,265.600000,75528808,1300000001847801,2020-06-30T09:43:10
SONATSOFTW,INE269A01021,2020-06-30,NSE,EQ,EQ,buy,false,4.000000,239.150000,75528809,1300000001847806,2020-06-30T09:43:10
TIMKEN,INE325A01013,2020-06-30,NSE,EQ,EQ,buy,false,1.000000,953.900000,75528810,1300000001847808,2020-06-30T09:43:10
GUJALKALI,INE186A01019,2020-06-30,NSE,EQ,EQ,buy,false,2.000000,326.250000,25755227,1100000002086984,2020-06-30T09:43:10
RELIANCE,INE002A01018,2020-07-06,NSE,EQ,EQ,sell,false,15.000000,1827.700000,76456037,1300000004283432,2020-07-06T10:59:50
SBIN,INE062A01020,2020-07-06,NSE,EQ,EQ,sell,false,1.000000,188.850000,76462541,1300000004292424,2020-07-06T11:00:17
RELIANCE,INE002A01018,2020-07-07,NSE,EQ,EQ,buy,false,15.000000,1835.000000,76672547,1300000002536695,2020-07-07T10:54:31
TIMKEN,INE325A01013,2020-07-21,NSE,EQ,EQ,buy,false,7.000000,1035.500000,76007712,1300000002854312,2020-07-21T09:58:24
HINDUNILVR,INE030A01027,2020-08-12,NSE,EQ,EQ,buy,false,1.000000,2196.400000,26638483,1100000004474010,2020-08-12T10:58:37
GODFRYPHLP,INE260B01028,2020-08-12,NSE,EQ,EQ,buy,false,2.000000,967.950000,26638486,1100000004474013,2020-08-12T10:58:37
ITC,INE154A01025,2020-08-12,NSE,EQ,EQ,buy,false,14.000000,200.900000,26638485,1100000004474012,2020-08-12T10:58:37
ICICIBANK,INE090A01021,2020-08-12,NSE,EQ,EQ,buy,false,3.000000,365.350000,26638482,1100000004474008,2020-08-12T10:58:37
JUNIORBEES,INF732E01045,2020-09-10,NSE,EQ,EQ,buy,false,1.000000,296.000000,50005600,1200000000096542,2020-09-10T09:15:00
ICICINIFTY,INF109K012R6,2020-09-10,NSE,EQ,EQ,buy,false,1.000000,125.250000,25012112,1100000000140860,2020-09-10T09:15:00
GUJALKALI,INE186A01019,2020-09-23,NSE,EQ,EQ,sell,false,3.000000,334.650000,26035308,1100000003445232,2020-09-23T10:18:55
LT,INE018A01030,2020-09-23,NSE,EQ,EQ,sell,false,1.000000,866.500000,50719850,1200000003248351,2020-09-23T10:18:55
NATIONALUM,INE139A01034,2020-09-23,NSE,EQ,EQ,sell,false,32.000000,31.800000,50719849,1200000003248349,2020-09-23T10:18:55
TIMKEN,INE325A01013,2020-09-23,NSE,EQ,EQ,sell,false,1.000000,1080.350000,76188060,1300000003999203,2020-09-23T10:18:55
NATCOPHARM,INE987B01026,2020-09-23,NSE,EQ,EQ,sell,false,2.000000,856.050000,50719848,1200000003248347,2020-09-23T10:18:55
ESCORTS,INE042A01014,2020-09-23,NSE,EQ,EQ,sell,false,1.000000,1223.800000,26035306,1100000003445221,2020-09-23T10:18:55
WSTCSTPAPR,INE976A01021,2020-09-23,NSE,EQ,EQ,buy,false,6.000000,178.650000,76188421,1300000003999946,2020-09-23T10:18:57
SUBROS,INE287B01021,2020-09-23,NSE,EQ,EQ,buy,false,4.000000,244.300000,76188422,1300000003999952,2020-09-23T10:18:57
CHAMBLFERT,INE085A01013,2020-09-23,NSE,EQ,EQ,buy,false,7.000000,148.750000,1029822,1000000004437494,2020-09-23T10:18:57
CARBORUNIV,INE120A01034,2020-09-23,NSE,EQ,EQ,buy,false,4.000000,255.200000,1029824,1000000004437501,2020-09-23T10:18:57
GSPL,INE246F01010,2020-09-23,NSE,EQ,EQ,buy,false,2.000000,198.200000,26035501,1100000003446021,2020-09-23T10:18:57
GSPL,INE246F01010,2020-09-23,NSE,EQ,EQ,buy,false,3.000000,198.200000,26035502,1100000003446021,2020-09-23T10:18:57
ERIS,INE406M01024,2020-09-23,NSE,EQ,EQ,buy,false,2.000000,532.650000,26035503,1100000003446023,2020-09-23T10:18:57
HCLTECH,INE860A01027,2020-09-23,NSE,EQ,EQ,buy,false,1.000000,829.450000,26035507,1100000003446032,2020-09-23T10:18:57
NILKAMAL,INE310A01015,2020-09-23,NSE,EQ,EQ,buy,false,1.000000,1313.000000,50720020,1200000003248886,2020-09-23T10:18:57
JBCHEPHARM,INE572A01028,2020-09-23,NSE,EQ,EQ,buy,false,1.000000,981.800000,50720021,1200000003248887,2020-09-23T10:18:57
MARICO,INE196A01026,2020-09-23,NSE,EQ,EQ,buy,false,1.000000,346.200000,50720022,1200000003248893,2020-09-23T10:18:57
MARICO,INE196A01026,2020-09-23,NSE,EQ,EQ,buy,false,2.000000,346.200000,50720023,1200000003248893,2020-09-23T10:18:57
JKCEMENT,INE823G01014,2020-09-23,NSE,EQ,EQ,buy,false,1.000000,1516.350000,50720024,1200000003248894,2020-09-23T10:18:57
PNCINFRA,INE195J01029,2020-09-23,NSE,EQ,EQ,buy,false,7.000000,163.550000,50720026,1200000003248901,2020-09-23T10:18:57
ITC,INE154A01025,2020-09-28,NSE,EQ,EQ,buy,false,20.000000,173.150000,28253920,1100000009419623,2020-09-28T14:36:54
VIPIND,INE054A01027,2020-09-28,NSE,EQ,EQ,buy,false,5.000000,301.000000,77932197,1300000009886154,2020-09-28T14:40:51
ICICIBANK,INE090A01021,2020-10-14,NSE,EQ,EQ,sell,false,3.000000,390.500000,26925758,1100000007186613,2020-10-14T12:51:04
GODFRYPHLP,INE260B01028,2020-10-14,NSE,EQ,EQ,sell,false,2.000000,886.350000,26925759,1100000007186614,2020-10-14T12:51:04
HINDUNILVR,INE030A01027,2020-10-14,NSE,EQ,EQ,sell,false,1.000000,2153.450000,26925760,1100000007186615,2020-10-14T12:51:04
ITC,INE154A01025,2020-10-14,NSE,EQ,EQ,buy,false,6.000000,167.450000,26925919,1100000007187193,2020-10-14T12:51:06
EIHOTEL,INE230A01023,2020-10-14,NSE,EQ,EQ,buy,false,15.000000,76.500000,26925920,1100000007187194,2020-10-14T12:51:06
VIPIND,INE054A01027,2020-10-14,NSE,EQ,EQ,buy,false,10.000000,285.600000,77547452,1300000009018884,2020-10-14T12:51:06
RELIANCE,INE002A01018,2020-10-28,NSE,EQ,EQ,buy,false,4.000000,2015.800000,78122198,1300000007683106,2020-10-28T13:56:46
TIMKEN,INE325A01013,2020-11-12,NSE,EQ,EQ,sell,false,7.000000,1144.900000,77841105,1300000010531217,2020-11-12T13:56:16
