symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
HCLTECH,INE860A01027,2023-01-02,NSE,EQ,EQ,sell,false,3.000000,1035.900000,25711890,1100000004098214,2023-01-02T09:45:43
BAJAJHLDNG,INE118A01012,2023-01-02,NSE,EQ,EQ,sell,false,1.000000,5615.000000,587139,1000000003530716,2023-01-02T09:45:43
BEL,INE263A01024,2023-01-02,NSE,EQ,EQ,sell,false,15.000000,100.100000,587140,1000000003530718,2023-01-02T09:45:43
BEL,INE263A01024,2023-01-02,NSE,EQ,EQ,sell,false,15.000000,100.100000,587141,1000000003530718,2023-01-02T09:45:43
AEGISCHEM,INE208C01025,2023-01-02,NSE,EQ,EQ,sell,false,1.000000,342.500000,587137,1000000003530714,2023-01-02T09:45:43
ATGL,INE399L01023,2023-01-02,NSE,EQ,EQ,sell,false,1.000000,3690.100000,587138,1000000003530715,2023-01-02T09:45:43
AEGISCHEM,INE208C01025,2023-01-02,NSE,EQ,EQ,sell,false,1.000000,342.600000,587136,1000000003530714,2023-01-02T09:45:43
CHOLAFIN,INE121A01024,2023-01-02,NSE,EQ,EQ,sell,false,4.000000,734.350000,587134,1000000003530712,2023-01-02T09:45:43
AEGISCHEM,INE208C01025,2023-01-02,NSE,EQ,EQ,sell,false,8.000000,342.600000,587135,1000000003530714,2023-01-02T09:45:43
TATAMOTORS,INE155A01022,2023-01-02,NSE,EQ,EQ,buy,false,1.000000,394.200000,75818970,1300000004075139,2023-01-02T09:45:45
SOUTHBANK,INE683A01023,2023-01-02,NSE,EQ,EQ,buy,false,150.000000,19.200000,75818969,1300000004075137,2023-01-02T09:45:45
CANBK,INE476A01014,2023-01-02,NSE,EQ,EQ,buy,false,10.000000,338.350000,587729,1000000003533541,2023-01-02T09:45:45
BEML,INE258A01016,2023-01-02,NSE,EQ,EQ,buy,false,1.000000,1512.650000,587730,1000000003533542,2023-01-02T09:45:45
BEML,INE258A01016,2023-01-02,NSE,EQ,EQ,buy,false,1.000000,1512.700000,587731,1000000003533542,2023-01-02T09:45:45
GICRE,INE481Y01014,2023-01-02,NSE,EQ,EQ,buy,false,25.000000,184.850000,25712358,1100000004101710,2023-01-02T09:45:45
OIL,INE274J01014,2023-01-02,NSE,EQ,EQ,buy,false,15.000000,212.850000,50713547,1200000004168495,2023-01-02T09:45:45
NATIONALUM,INE139A01034,2023-01-02,NSE,EQ,EQ,buy,false,35.000000,81.700000,50713548,1200000004168496,2023-01-02T09:45:45
JKPAPER,INE789E01012,2023-01-02,NSE,EQ,EQ,buy,false,7.000000,419.150000,50713549,1200000004168505,2023-01-02T09:45:45
JKPAPER,INE789E01012,2023-01-02,NSE,EQ,EQ,buy,false,2.000000,419.200000,50713550,1200000004168505,2023-01-02T09:45:45
ADANIENT,INE423A01024,2023-01-30,NSE,EQ,EQ,sell,false,1.000000,3037.550000,1127550,1000000004493015,2023-01-30T09:34:38
SOUTHBANK,INE683A01023,2023-01-30,NSE,EQ,EQ,sell,false,150.000000,17.450000,75715421,1300000003387002,2023-01-30T09:34:38
SBIN,INE062A01020,2023-01-30,NSE,EQ,EQ,sell,false,2.000000,551.200000,75715422,1300000003387003,2023-01-30T09:34:38
SBILIFE,INE123W01016,2023-01-30,NSE,EQ,EQ,sell,false,3.000000,1224.500000,75715426,1300000003387009,2023-01-30T09:34:38
SUPREMEIND,INE195A01028,2023-01-30,NSE,EQ,EQ,buy,false,1.000000,2613.700000,75715929,1300000003391364,2023-01-30T09:34:40
RATNAMANI,INE703B01027,2023-01-30,NSE,EQ,EQ,buy,false,1.000000,2100.000000,75715930,1300000003391369,2023-01-30T09:34:40
TCS,INE467B01029,2023-01-30,NSE,EQ,EQ,buy,false,1.000000,3411.700000,75715948,1300000003391460,2023-01-30T09:34:40
COALINDIA,INE522F01014,2023-02-01,NSE,EQ,EQ,buy,false,10.000000,224.050000,1811281,1000000008394207,2023-02-01T10:27:11
SIGACHI,INE0D0K01014,2023-02-01,NSE,EQ,EQ,buy,false,19.000000,312.600000,76396325,1300000007047122,2023-02-01T10:30:34
BEML,INE258A01016,2023-03-02,NSE,EQ,EQ,sell,false,1.000000,1212.300000,2522354,1000000013604707,2023-03-02T11:37:40
BEML,INE258A01016,2023-03-02,NSE,EQ,EQ,sell,false,1.000000,1212.200000,2522355,1000000013604707,2023-03-02T11:37:40
GICRE,INE481Y01014,2023-03-02,NSE,EQ,EQ,sell,false,25.000000,143.500000,26811197,1100000010927339,2023-03-02T11:37:40
NATIONALUM,INE139A01034,2023-03-02,NSE,EQ,EQ,sell,false,35.000000,82.450000,51521860,1200000009976910,2023-03-02T11:37:40
POLICYBZR,INE417T01026,2023-03-02,NSE,EQ,EQ,buy,false,1.000000,564.350000,51522140,1200000009979128,2023-03-02T11:37:42
LTTS,INE010V01017,2023-03-02,NSE,EQ,EQ,buy,false,1.000000,3698.200000,51522116,1200000009979019,2023-03-02T11:37:42
POLYMED,INE205C01021,2023-03-02,NSE,EQ,EQ,buy,false,3.000000,979.250000,51522138,1200000009979126,2023-03-02T11:37:42
POLICYBZR,INE417T01026,2023-03-02,NSE,EQ,EQ,buy,false,4.000000,564.250000,51522139,1200000009979128,2023-03-02T11:37:42
SCHAEFFLER,INE513A01022,2023-03-02,NSE,EQ,EQ,buy,false,1.000000,3096.150000,76857817,1300000009314043,2023-03-02T11:37:44
YESBANK,INE528G01035,2023-03-20,BSE,EQ,A,sell,false,1.000000,15.220000,4211600,1679296059623440570,2023-03-20T14:33:34
UNITECH-BZ,INE694A01020,2023-03-20,NSE,EQ,BZ,buy,false,1.000000,1.300000,78921254,1300000022649537,2023-03-20T14:36:07
FRETAIL-BZ,INE752P01024,2023-03-20,NSE,EQ,BZ,sell,false,1.000000,2.650000,29004916,1100000026846138,2023-03-20T14:37:37
IDFCFIRSTB,INE092T01019,2023-03-20,BSE,EQ,A,buy,false,1.000000,54.040000,7817500,1679299735879388012,2023-03-20T14:41:09
GOLDBEES,INF204KB17I5,2023-03-20,NSE,EQ,EQ,buy,false,1.000000,51.240000,29088354,1100000027388494,2023-03-20T14:44:16
YESBANK,INE528G01035,2023-03-20,NSE,EQ,EQ,sell,false,1.000000,15.200000,79045601,1300000023337107,2023-03-20T14:46:51
IDFCFIRSTB,INE092T01019,2023-03-21,NSE,EQ,EQ,sell,false,1.000000,55.600000,29016996,1100000025341356,2023-03-21T15:08:56
IDFCFIRSTB,INE092T01019,2023-03-21,BSE,EQ,A,sell,false,1.000000,55.600000,6451700,1679386695055429109,2023-03-21T15:11:04
IDFCFIRSTB,INE092T01019,2023-03-21,NSE,EQ,EQ,buy,false,1.000000,55.650000,29064544,1100000025484943,2023-03-21T15:11:39
BLUESTARCO,INE472A01039,2023-04-05,NSE,EQ,EQ,sell,false,2.000000,1413.050000,735196,1000000003831082,2023-04-05T09:43:41
COALINDIA,INE522F01014,2023-04-05,NSE,EQ,EQ,sell,false,10.000000,221.050000,735197,1000000003831088,2023-04-05T09:43:41
LTTS,INE010V01017,2023-04-05,NSE,EQ,EQ,sell,false,1.000000,3427.000000,50735975,1200000003845955,2023-04-05T09:43:41
RATNAMANI,INE703B01027,2023-04-05,NSE,EQ,EQ,sell,false,1.000000,2031.100000,75692167,1300000003462261,2023-04-05T09:43:41
SUPREMEIND,INE195A01028,2023-04-05,NSE,EQ,EQ,sell,false,1.000000,2512.050000,75692163,1300000003462245,2023-04-05T09:43:41
KPITTECH,INE04I401011,2023-04-05,NSE,EQ,EQ,buy,false,3.000000,803.000000,50736498,1200000003848922,2023-04-05T09:43:43
CGPOWER,INE067A01029,2023-04-05,NSE,EQ,EQ,buy,false,12.000000,294.150000,735746,1000000003834035,2023-04-05T09:43:43
APARINDS,INE372A01015,2023-04-05,NSE,EQ,EQ,buy,false,1.000000,2594.850000,735747,1000000003834039,2023-04-05T09:43:43
IGL,INE203G01027,2023-04-05,NSE,EQ,EQ,buy,false,2.000000,428.950000,25660790,1100000003765135,2023-04-05T09:43:43
OIL,INE274J01014,2023-04-05,NSE,EQ,EQ,buy,false,2.000000,263.150000,50736497,1200000003848921,2023-04-05T09:43:43
POLYMED,INE205C01021,2023-04-05,NSE,EQ,EQ,buy,false,1.000000,944.950000,50736499,1200000003848926,2023-04-05T09:43:43
JKPAPER,INE789E01012,2023-04-05,NSE,EQ,EQ,buy,false,2.000000,387.400000,50736500,1200000003848927,2023-04-05T09:43:43
USHAMART,INE228A01035,2023-04-05,NSE,EQ,EQ,buy,false,11.000000,218.900000,75692700,1300000003465924,2023-04-05T09:43:43
TATAMOTORS,INE155A01022,2023-04-05,NSE,EQ,EQ,buy,false,2.000000,425.300000,75692701,1300000003465928,2023-04-05T09:43:43
