symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
ESCORTS,INE042A01014,2022-01-04,NSE,EQ,EQ,sell,false,1.000000,1898.350000,27084217,1100000007576314,2022-01-04T10:59:45
TATACOMM,INE151A01013,2022-01-04,NSE,EQ,EQ,buy,false,1.000000,1431.000000,77655173,1300000008862560,2022-01-04T10:59:47
TATAMOTORS,INE155A01022,2022-01-04,NSE,EQ,EQ,buy,false,4.000000,490.550000,77655175,1300000008862562,2022-01-04T10:59:47
HEROMOTOCO,INE158A01026,2022-01-19,NSE,EQ,EQ,buy,false,1.000000,2708.200000,26067295,1100000003578001,2022-01-19T09:42:54
HEROMOTOCO,INE158A01026,2022-01-19,NSE,EQ,EQ,buy,false,5.000000,2708.200000,26067296,1100000003578001,2022-01-19T09:42:54
APLAPOLLO,INE702C01027,2022-01-25,NSE,EQ,EQ,sell,false,4.000000,894.650000,380214,1000000001233476,2022-01-25T09:21:39
MINDTREE,INE018I01017,2022-01-25,NSE,EQ,EQ,sell,false,1.000000,3697.650000,50403518,1200000001216742,2022-01-25T09:21:39
ICICIBANK,INE090A01021,2022-01-25,NSE,EQ,EQ,buy,false,4.000000,793.750000,25430273,1100000001354976,2022-01-25T09:21:41
BANKBARODA,INE028A01039,2022-01-25,NSE,EQ,EQ,buy,false,32.000000,92.550000,382648,1000000001239155,2022-01-25T09:21:41
IRCTC,INE335Y01020,2022-02-02,NSE,EQ,EQ,sell,false,5.000000,863.200000,26256059,1100000004312474,2022-02-02T09:52:36
GLAXO,INE159A01016,2022-02-02,NSE,EQ,EQ,sell,false,1.000000,1542.150000,26256057,1100000004312456,2022-02-02T09:52:36
LT,INE018A01030,2022-02-02,NSE,EQ,EQ,buy,false,1.000000,1995.900000,50935724,1200000004103697,2022-02-02T09:52:55
OBEROIRLTY,INE093I01010,2022-02-02,NSE,EQ,EQ,buy,false,4.000000,962.950000,50935725,1200000004103698,2022-02-02T09:52:55
DEEPAKNTR,INE288B01029,2022-02-21,NSE,EQ,EQ,sell,false,1.000000,2022.050000,28645316,1100000016906672,2022-02-21T13:50:06
TATACOMM,INE151A01013,2022-02-21,NSE,EQ,EQ,sell,false,1.000000,1232.900000,78800704,1300000018697919,2022-02-21T13:50:06
SBIN,INE062A01020,2022-02-21,NSE,EQ,EQ,buy,false,4.000000,513.350000,78801030,1300000018700131,2022-02-21T13:50:08
IOC,INE242A01010,2022-02-21,NSE,EQ,EQ,buy,false,20.000000,120.050000,28645788,1100000016908752,2022-02-21T13:50:08
RADICO,INE944F01028,2022-03-02,NSE,EQ,EQ,sell,false,4.000000,873.350000,79855069,1300000020481186,2022-03-02T14:04:56
IEX,INE022Q01020,2022-03-02,NSE,EQ,EQ,sell,false,21.000000,212.950000,30728549,1100000019683175,2022-03-02T14:04:56
LTI,INE214T01019,2022-03-02,NSE,EQ,EQ,buy,false,1.000000,5832.000000,54047423,1200000020314838,2022-03-02T14:04:58
VEDL,INE205A01025,2022-03-02,NSE,EQ,EQ,buy,false,5.000000,390.900000,79855415,1300000020482714,2022-03-02T14:04:58
OBEROIRLTY,INE093I01010,2022-03-15,NSE,EQ,EQ,sell,false,4.000000,909.650000,52490315,1200000010541629,2022-03-15T11:28:02
ISEC,INE763G01038,2022-03-15,NSE,EQ,EQ,sell,false,1.000000,596.550000,27861931,1100000010266109,2022-03-15T11:28:02
ISEC,INE763G01038,2022-03-15,NSE,EQ,EQ,sell,false,2.000000,596.450000,27861932,1100000010266109,2022-03-15T11:28:02
IOC,INE242A01010,2022-03-15,NSE,EQ,EQ,sell,false,20.000000,120.450000,27861933,1100000010266118,2022-03-15T11:28:02
DIVISLAB,INE361B01024,2022-03-15,NSE,EQ,EQ,buy,false,1.000000,4430.400000,27862505,1100000010268318,2022-03-15T11:28:04
VEDL,INE205A01025,2022-03-15,NSE,EQ,EQ,buy,false,3.000000,366.100000,77443549,1300000010130486,2022-03-15T11:28:04
TATAMOTORS,INE155A01022,2022-03-15,NSE,EQ,EQ,buy,false,2.000000,420.550000,77443550,1300000010130488,2022-03-15T11:28:04
LT,INE018A01030,2022-04-04,NSE,EQ,EQ,sell,false,1.000000,1807.300000,51586316,1200000006634325,2022-04-04T10:29:44
ADANITRANS,INE931S01010,2022-04-04,NSE,EQ,EQ,buy,false,1.000000,2414.950000,1764402,1000000006699481,2022-04-04T10:29:46
LTI,INE214T01019,2022-04-25,NSE,EQ,EQ,sell,false,1.000000,4915.600000,51061687,1200000004200458,2022-04-25T09:52:36
DIXON,INE935N01020,2022-04-25,NSE,EQ,EQ,buy,false,1.000000,4244.750000,26285536,1100000004600708,2022-04-25T09:52:38
ADANIGREEN,INE364U01010,2022-05-09,NSE,EQ,EQ,sell,false,1.000000,2757.550000,2261483,1000000009544655,2022-05-09T11:04:18
BANKBARODA,INE028A01039,2022-05-09,NSE,EQ,EQ,sell,false,32.000000,102.850000,2261484,1000000009544656,2022-05-09T11:04:18
SAIL,INE114A01011,2022-05-09,NSE,EQ,EQ,sell,false,25.000000,87.350000,77539560,1300000010164424,2022-05-09T11:04:18
SBILIFE,INE123W01016,2022-05-09,NSE,EQ,EQ,buy,false,3.000000,1072.400000,77539872,1300000010165920,2022-05-09T11:04:20
INFY,INE009A01021,2022-05-12,NSE,EQ,EQ,buy,false,4.000000,1508.000000,29098494,1100000016693734,2022-05-12T13:12:01
FLUOROCHEM,INE09N301011,2022-05-16,NSE,EQ,EQ,sell,false,1.000000,2495.150000,27124975,1100000009986757,2022-05-16T11:38:43
DIXON,INE935N01020,2022-05-16,NSE,EQ,EQ,sell,false,1.000000,3368.250000,27149722,1100000010095315,2022-05-16T11:40:37
HINDALCO,INE038A01020,2022-05-16,NSE,EQ,EQ,sell,false,3.000000,387.250000,27149723,1100000010095318,2022-05-16T11:40:37
TATASTEEL,INE081A01012,2022-05-16,NSE,EQ,EQ,sell,false,1.000000,1113.450000,77430890,1300000010705891,2022-05-16T11:40:37
AUBANK,INE949L01017,2022-05-16,NSE,EQ,EQ,buy,false,1.000000,1309.550000,2365767,1000000010757410,2022-05-16T11:40:39
UPL,INE628A01036,2022-05-16,NSE,EQ,EQ,buy,false,3.000000,796.700000,77431433,1300000010708654,2022-05-16T11:40:39
